edition_ID,City_ID,Language,State,Month,Copies Sold,copies_returned,Net_Circulation
ED1005,C005,Hindi,Rajasthan,May-23,404389,13510,390879
ED1005,C005,Hindi,Rajasthan,Mar-19,492943,25024,467919
ED1001,C001,hindi,Uttar pradesh,Jul-23,168893,12285,156608
ED1003,C003,Hindi,Madhya_Pradesh,Jul-23,216540,10117,206423
ED1007,C007,Hindi,Jharkhand,Oct-20,234563,13048,221515
ED1001,C001,hindi,Uttar pradesh,Jun-24,149986,6387,143599
ED1001,C001,hindi,Uttar pradesh,Apr-24,155269,9394,145875
ED1003,C003,Hindi,Madhya_Pradesh,Feb-19,274749,13327,261422
ED1005,C005,Hindi,Rajasthan,May-19,498423,30933,467490
ED1006,C006,english,maharashtra,Jul-21,377357,17925,359432
ED1010,C010,Hindi,Uttar-Pradesh,Nov-23,389952,17470,372482
ED1007,C007,Hindi,Jharkhand,May-20,234054,14644,219410
ED1001,C001,hindi,Uttar pradesh,Apr-22,166729,5975,160754
ED1002,C002,ENGLISH,Delhi,Jun-21,351210,18616,332594
ED1006,C006,english,maharashtra,Nov-24,304809,13930,290879
ED1005,C005,Hindi,Rajasthan,May-22,422488,22678,399810
ED1002,C002,ENGLISH,Delhi,Mar-20,356422,17505,338917
ED1009,C009,Hindi,gujarat,Apr-23,266904,13638,253266
ED1004,C004,Hindi,bihar,Aug-22,231765,14158,217607
ED1003,C003,Hindi,Madhya_Pradesh,Oct-24,207963,9464,198499
ED1007,C007,Hindi,Jharkhand,Mar-20,232783,7954,224829
ED1006,C006,english,maharashtra,Aug-19,424402,26771,397631
ED1001,C001,hindi,Uttar pradesh,Oct-21,194492,12156,182336
ED1010,C010,Hindi,Uttar-Pradesh,Mar-22,390340,12438,377902
ED1007,C007,Hindi,Jharkhand,Nov-22,â‚¹216680,7052,209628
ED1005,C005,Hindi,Rajasthan,Dec-21,422959,18890,404069
ED1004,C004,Hindi,bihar,Mar-22,215106,13963,201143
ED1003,C003,Hindi,Madhya_Pradesh,Jul-24,211625,15649,195976
ED1002,C002,ENGLISH,Delhi,Jan-23,319153,13703,305450
ED1002,C002,ENGLISH,Delhi,Feb-24,299137,22038,277099
ED1006,C006,english,maharashtra,Oct-23,333322,13546,319776
ED1006,C006,english,maharashtra,Apr-19,413633,28647,384986
ED1005,C005,Hindi,Rajasthan,Jan-23,395177,20456,374721
ED1006,C006,english,maharashtra,Apr-20,389210,11735,377475
ED1008,C008,Hindi,Uttar Pradesh,Aug-24,283139,21735,261404
ED1009,C009,Hindi,gujarat,Jan-24,231585,10447,221138
ED1010,C010,Hindi,Uttar-Pradesh,Sep-24,364199,26695,337504
ED1008,C008,Hindi,Uttar Pradesh,Jun-24,299314,17723,281591
